"PUPIL","ACT","OBSERVED","ORDERED","EXPECTATION","VARIANCE","ZSCORE","RESIDUAL","PERSON.MEASURE","ITEM.MEASURE","MEASURE.DIFFERENCE","LOG.PROBABILITY.","PREDICTED.PERSON.MEASURE","PREDICTED.ITEM.MEASURE","KURTOSIS","MORE.PROBABLE.RESPONSE","RESPONSE.WEIGHT","CODE","PERSON.LABEL","ITEM.LABEL"
1,1,1,1,1.397,0.293,-0.734,-0.397,0.493,-0.892,1.384,-0.599,-0.892,0.493,0.171,1,1,1,"ROSSNER, MARC DANIEL","WATCH BIRDS"
1,2,2,2,1.572,0.386,0.689,0.428,0.493,-0.611,1.103,-0.442,1.065,-1.183,0.484,2,1,2,"ROSSNER, MARC DANIEL","READ BOOKS ON ANIMALS"
1,3,1,1,1.084,0.392,-0.134,-0.084,0.493,0.279,0.214,-0.509,0.279,0.493,0.387,1,1,1,"ROSSNER, MARC DANIEL","READ BOOKS ON PLANTS"
1,4,1,1,0.552,0.318,0.794,0.448,0.493,1.802,-1.309,-0.73,1.802,0.493,0.219,0,1,1,"ROSSNER, MARC DANIEL","WATCH GRASS CHANGE"
1,5,1,1,0.283,0.253,1.427,0.717,0.493,2.189,-1.696,-1.459,2.189,0.493,0.284,0,1,1,"ROSSNER, MARC DANIEL","FIND BOTTLES AND CANS"
1,6,0,0,1.132,0.397,-1.796,-1.132,0.493,0.164,0.329,-1.957,-2.106,2.762,0.387,1,1,0,"ROSSNER, MARC DANIEL","LOOK UP STRANGE ANIMAL OR PLANT"
1,7,2,2,0.771,0.442,1.848,1.229,0.493,0.994,-0.501,-2.019,3.05,-1.564,0.432,1,1,2,"ROSSNER, MARC DANIEL","WATCH ANIMAL MOVE"
1,8,0,0,0.564,0.344,-0.962,-0.564,0.493,1.641,-1.148,-0.723,-0.641,2.775,0.274,0,1,0,"ROSSNER, MARC DANIEL","LOOK IN SIDEWALK CRACKS"
1,9,1,1,0.945,0.517,0.077,0.055,0.493,0.6,-0.107,-0.733,0.6,0.493,0.517,1,1,1,"ROSSNER, MARC DANIEL","LEARN WEED NAMES"
1,10,2,2,1.754,0.21,0.536,0.246,0.493,-1.57,2.063,-0.266,0.473,-1.55,0.192,2,1,2,"ROSSNER, MARC DANIEL","LISTEN TO BIRD SING"
1,11,2,2,1.6,0.27,0.771,0.4,0.493,-1.372,1.865,-0.487,1.135,-2.014,0.16,2,1,2,"ROSSNER, MARC DANIEL","FIND WHERE ANIMAL LIVES"
1,12,2,2,1.836,0.137,0.442,0.164,0.493,-1.139,1.632,-0.179,-0.041,-0.606,0.081,2,1,2,"ROSSNER, MARC DANIEL","GO TO MUSEUM"
1,13,2,2,1.766,0.281,0.441,0.234,0.493,-0.896,1.389,-0.202,0.437,-0.84,0.542,2,1,2,"ROSSNER, MARC DANIEL","GROW GARDEN"
1,14,0,0,1.084,0.42,-1.672,-1.084,0.493,0.294,0.199,-1.762,-1.901,2.688,0.417,1,1,0,"ROSSNER, MARC DANIEL","LOOK AT PICTURES OF PLANTS"
1,15,2,2,1.467,0.379,0.866,0.533,0.493,-0.559,1.052,-0.631,1.448,-1.514,0.363,2,1,2,"ROSSNER, MARC DANIEL","READ ANIMAL STORIES"
1,16,1,1,1.009,0.358,-0.015,-0.009,0.493,0.468,0.024,-0.444,0.468,0.493,0.358,1,1,1,"ROSSNER, MARC DANIEL","MAKE A MAP"
1,17,1,1,1.2,0.436,-0.303,-0.2,0.493,0.045,0.447,-0.646,0.045,0.493,0.426,1,1,1,"ROSSNER, MARC DANIEL","WATCH WHAT ANIMALS EAT"
1,18,2,2,1.959,0.048,0.19,0.041,0.493,-2.256,2.749,-0.038,-0.979,-0.785,0.086,2,1,2,"ROSSNER, MARC DANIEL","GO ON PICNIC"
1,19,2,2,1.907,0.093,0.304,0.093,0.493,-2.161,2.653,-0.092,-0.502,-1.166,0.117,2,1,2,"ROSSNER, MARC DANIEL","GO TO ZOO"
1,20,0,0,0.488,0.341,-0.836,-0.488,0.493,1.747,-1.254,-0.584,-0.373,2.612,0.296,0,1,0,"ROSSNER, MARC DANIEL","WATCH BUGS"
1,21,2,2,1.608,0.337,0.675,0.392,0.493,-0.804,1.297,-0.42,0.997,-1.308,0.384,2,1,2,"ROSSNER, MARC DANIEL","WATCH BIRD MAKE NEST"
1,22,1,1,1.236,0.453,-0.35,-0.236,0.493,-0.009,0.502,-0.71,-0.009,0.493,0.446,1,1,1,"ROSSNER, MARC DANIEL","FIND OUT WHAT ANIMALS EAT"
